City,Region,Country,Latitude,Longitude
Asbury Grove,MA,us,42.6222222,-70.8847222
Ascutney,VT,us,43.4069444,-72.4075000
Ash Point,ME,us,44.0555556,-69.0872222
Ashaway,RI,us,41.4233333,-71.7861111
Ashburnham,MA,us,42.6361111,-71.9083333
Ashby,MA,us,42.6777778,-71.8208333
Ashcroft,MA,us,42.2333333,-71.1500000
Ashdale,ME,us,43.7675000,-69.8394444
Ashdod,MA,us,42.0686111,-70.7513889
Ashfield,MA,us,42.5263889,-72.7888889
Ashford,CT,us,41.8730556,-72.1219444
Ashland,ME,us,46.6311111,-68.4066667
Ashland,MA,us,42.2611111,-71.4638889
Ashland,NH,us,43.6952778,-71.6311111
Ashley Falls,MA,us,42.0561111,-73.3355556
Ashley Heights,MA,us,41.7791667,-70.9208333
Ashleyville,MA,us,42.1583333,-72.6333333
Ashmont,MA,us,42.2833333,-71.0694444
Ashton,RI,us,41.9388889,-71.4311111
Ashuelot,NH,us,42.7775000,-72.4241667
Ashville,ME,us,44.4877778,-68.1216667
Aspetuck,CT,us,41.2180556,-73.3213889
Assinippi,MA,us,42.1583333,-70.8513889
Assonet,MA,us,41.7958333,-71.0683333
Assonet Bay Shores,MA,us,41.7958333,-71.0902778
Asticou,ME,us,44.3038889,-68.2822222
Atchison Cove,CT,us,41.5741667,-73.4847222
Athearns Corner,ME,us,44.2730556,-69.1663889
Athens,ME,us,44.9230556,-69.6733333
Athens,VT,us,43.1336111,-72.5683333
Athol,MA,us,42.5958333,-72.2272222
Athol Junction,MA,us,42.1277778,-72.5625000
Atkinson,NH,us,42.8383333,-71.1475000
Atkinson Heights,NH,us,42.8233333,-71.1658333
Atkinson Mills,ME,us,45.1597222,-69.0827778
Atlantic,ME,us,44.1716667,-68.4247222
Atlantic,MA,us,42.2805556,-71.0291667
Atlantic,NH,us,42.8711111,-70.8616667
Atlantic Heights,NH,us,43.0922222,-70.7730556
Attawan Beach,CT,us,41.3030556,-72.2072222
Attawaugan,CT,us,41.8672222,-71.8816667
Attean Landing,ME,us,45.5875000,-70.2780556
Attleboro,MA,us,41.9444444,-71.2861111
Attleboro Falls,MA,us,41.9708333,-71.3166667
Attleborough City,MA,us,41.9250000,-71.3500000
Atwoodville,CT,us,41.7847222,-72.1750000
Auburn,ME,us,44.0977778,-70.2316667
Auburn,MA,us,42.1944444,-71.8361111
Auburn,NH,us,43.0044444,-71.3488889
Auburn,RI,us,41.7738889,-71.4283333
Auburn Plains,ME,us,44.1758333,-70.2322222
Auburndale,MA,us,42.3472222,-71.2500000
Auburnville,MA,us,42.0694444,-70.9638889
Augerville,CT,us,41.3719444,-72.9063889
Augusta,ME,us,44.3105556,-69.7800000
Aurora,ME,us,44.8541667,-68.3286111
Austin,RI,us,41.5905556,-71.6555556
Austin Corners,NH,us,42.9111111,-70.9647222
Autumn HIll,CT,us,41.5172222,-72.8725000
Avalon Beach,VT,us,43.6400000,-73.2255556
Averill,VT,us,44.9980556,-71.7108333
Avery Corner,CT,us,41.5175000,-72.2547222
Avon,CT,us,41.8097222,-72.8311111
Avon,ME,us,44.8061111,-70.2716667
Avon,MA,us,42.1305556,-71.0416667
Avon Corner,ME,us,44.8002778,-70.2661111
Avon Park North,CT,us,41.8125000,-72.8358333
Avon Park South,CT,us,41.8063889,-72.8411111
Avondale,RI,us,41.3344444,-71.8358333
Axtell Corner,MA,us,42.2319444,-71.6841667
Ayer,MA,us,42.5611111,-71.5902778
Ayers,ME,us,44.9844444,-67.2386111
Ayers Village,MA,us,42.7869444,-71.1694444
Ayres City,MA,us,42.6250000,-71.3125000
Babb Corner,ME,us,43.6297222,-70.4505556
Babbatasset Village,MA,us,42.6666667,-71.5791667
Babson Park,MA,us,42.2986111,-71.2600000
Back Bay,MA,us,42.3500000,-71.0875000
Back Narrows,ME,us,43.8927778,-69.5925000
Back Settlement,ME,us,47.1563889,-68.8705556
Backus Corner,CT,us,41.5144444,-72.1050000
Baconville,MA,us,42.4230556,-72.4422222
Baglett Grove,NH,us,42.8830556,-71.1797222
Bagley,NH,us,43.2666667,-71.7791667
Bahia Corner,RI,us,41.4944444,-71.1622222
Bahre Corner,CT,us,41.8450000,-72.9005556
Bailey Beach,CT,us,41.4952778,-72.4244444
Bailey Corner,ME,us,44.1722222,-69.7450000
Bailey Island,ME,us,43.7275000,-69.9955556
Bailey Mills,VT,us,43.5052778,-72.5702778
Baileys,NH,us,44.4072222,-71.5055556
Baileys Corner,MA,us,42.0250000,-70.6980556
Baileys Corner,NH,us,43.1055556,-71.5816667
Baileys Mills,VT,us,43.2977778,-72.6052778
Baileyville,CT,us,41.5130556,-72.7250000
Baird Four Corners,MA,us,42.1208333,-72.9319444
Baker Bridge,MA,us,42.4277778,-71.3369444
Baker Corner,ME,us,43.8247222,-70.3888889
Baker Corner,NH,us,43.1375000,-72.2494444
Bakers Grove,MA,us,42.5352778,-71.8833333
Bakersfield,VT,us,44.7819444,-72.8033333
Bakersville,CT,us,41.8319444,-73.0305556
Bald Head,ME,us,43.2208333,-70.5777778
Bald Hill Crossing,ME,us,43.3425000,-70.6733333
Bald Mountain,ME,us,44.9547222,-70.7911111
Baldwin Corners,ME,us,44.2469444,-68.3591667
Baldwins Crossing,CT,us,41.2400000,-73.0933333
Baldwinville,MA,us,42.6083333,-72.0763889
Ball Pond,CT,us,41.4555556,-73.5230556
Ballardvale,MA,us,42.6250000,-71.1611111
Balloch,NH,us,43.4322222,-72.3925000
Ballouville,CT,us,41.8766667,-71.8616667
Baltic,CT,us,41.6169444,-72.0850000
Baltimore,VT,us,43.3602778,-72.5736111
Bancroft,ME,us,45.6736111,-68.0313889
Bancroft,MA,us,42.3091667,-73.0291667
Bangor,ME,us,44.8011111,-68.7783333
Bangs Beach,ME,us,44.4725000,-69.7752778
Bank,NH,us,42.7502778,-71.8375000
Bantam,CT,us,41.7244444,-73.2366667
Baptist Corner,MA,us,42.5519444,-72.7633333
Baptist Corners,MA,us,42.6994444,-72.2700000
Baptist Hill,VT,us,44.4419444,-71.7244444
Baptist Village,MA,us,42.0472222,-72.4708333
Bar Harbor,ME,us,44.3875000,-68.2044444
Bar Mills,ME,us,43.6130556,-70.5502778
Barberville,RI,us,41.5391667,-71.6991667
Bardwell,MA,us,42.5566667,-72.6786111
Bargytown,CT,us,41.5125000,-72.1655556
Baring,ME,us,45.1361111,-67.3172222
Barkerville,MA,us,42.4225000,-73.3091667
Barkhampsted Center,CT,us,41.9288889,-72.9669444
Barkhamsted,CT,us,41.9291667,-72.9144444
Barlows Landing,MA,us,41.6908333,-70.6255556
Barnard,ME,us,45.3663889,-69.2075000
Barnard,VT,us,43.7286111,-72.6194444
Barnard Corner,ME,us,45.3072222,-69.1236111
Barnesville,CT,us,41.3086111,-72.9102778
Barnet,VT,us,44.2969444,-72.0497222
Barneyville,MA,us,41.7716667,-71.2861111
Barnjum,ME,us,44.9413889,-70.3655556
Barnstable,MA,us,41.7000000,-70.3000000
Barnstead,NH,us,43.3338889,-71.2933333
Barnumtown,VT,us,44.2080556,-73.1638889
Barnumville,VT,us,43.1897222,-73.0216667
Barre,MA,us,42.4227778,-72.1055556
Barre,VT,us,44.1969444,-72.5025000
Barre Falls,MA,us,42.4291667,-72.0266667
Barre Plains,MA,us,42.3777778,-72.1097222
Barrett,NH,us,44.2580556,-71.8291667
Barretts,ME,us,46.8975000,-68.0161111
Barrington,NH,us,43.2227778,-71.0475000
Barrington,RI,us,41.7405556,-71.3091667
Barron Corner,ME,us,44.8208333,-69.8450000
Barrowsville,MA,us,41.9458333,-71.2041667
Bartlett,CT,us,41.4216667,-72.1036111
Bartlett,NH,us,44.0780556,-71.2833333
Bartlett Mills,ME,us,43.3994444,-70.5297222
Barton,VT,us,44.7480556,-72.1766667
Bartons Corner,RI,us,41.6627778,-71.4983333
Bartonsville,VT,us,43.2255556,-72.5361111
Bashan,CT,us,41.5130556,-72.4338889
Basin Mills,ME,us,44.8744444,-68.6669444
Bass Harbor,ME,us,44.2400000,-68.3444444
Bass River,MA,us,41.6527778,-70.2041667
Bass Rocks,MA,us,42.6141667,-70.6358333
Bassets Corner,MA,us,42.4813889,-72.1291667
Bassett Development,VT,us,43.6202778,-72.9450000
Batchelders Crossing,ME,us,44.1897222,-69.9402778
Batesville,ME,us,46.1255556,-68.3475000
Bath,ME,us,43.9105556,-69.8211111
Bath,NH,us,44.1669444,-71.9666667
Bay Point,ME,us,43.7563889,-69.7752778
Bay Spring,RI,us,41.7480556,-71.3472222
Bay State,MA,us,42.3222222,-72.6638889
Bay View,ME,us,43.4877778,-70.3875000
Bay View,MA,us,42.6700000,-70.6652778
Bay Village,MA,us,42.3505556,-71.0702778
Bayside,ME,us,44.4638889,-68.4241667
Bayside,MA,us,42.3000000,-70.8833333
Bayside,NH,us,43.0513889,-70.8680556
Bayside,RI,us,41.7011111,-71.3766667
Bayside Beach,MA,us,41.8666667,-70.5322222
Bayview,CT,us,41.2122222,-73.0305556
Bayview,MA,us,41.5736111,-70.9500000
Bayville,ME,us,43.8597222,-69.6033333
Beach Bluff,MA,us,42.4791667,-70.8861111
Beach Park,MA,us,41.9402778,-70.6205556
Beach Point,MA,us,42.0547222,-70.1322222
Beach Terrace,RI,us,41.7169444,-71.2841667
Beachdale,CT,us,41.5777778,-71.8622222
Beachmont,MA,us,42.3958333,-70.9875000
Beachwood,MA,us,42.3250000,-73.3208333
Beacon Corner,ME,us,43.4291667,-70.4544444
Beacon Falls,CT,us,41.4427778,-73.0630556
Beacon Hill,MA,us,42.3586111,-71.0683333
Beaconsfield,MA,us,42.3366667,-71.1416667
Beals,ME,us,44.5197222,-67.6155556
Bean Island,NH,us,43.0630556,-71.2433333
Beans Corner,ME,us,44.5777778,-70.1758333
Beanville,VT,us,43.9144444,-72.2813889
Bear Island,NH,us,43.6572222,-71.4177778
Bear Trap Landing,ME,us,45.2436111,-67.7933333
Beartown,VT,us,43.1897222,-73.1300000
Beatties,NH,us,44.7077778,-71.5952778
Beattys Four Corners,VT,us,44.9394444,-72.8627778
Beaulieus Corner,VT,us,44.9466667,-73.0161111
Beaver,MA,us,42.0477778,-70.9783333
Beaver Brook,MA,us,42.2638889,-71.8291667
Beaver Brook Station,MA,us,42.3791667,-71.2208333
Beaver Head Corner,CT,us,41.3894444,-72.7347222
Beaverbrook,CT,us,41.4111111,-73.4202778
Becket,MA,us,42.3319444,-73.0833333
Becket Center,MA,us,42.2833333,-73.0638889
Beckettville,CT,us,41.3930556,-73.4730556
Beddington,ME,us,44.8480556,-68.0625000
Bedell Crossing,ME,us,43.1027778,-70.6761111
Bedford,MA,us,42.4905556,-71.2766667
Bedford,NH,us,42.9463889,-71.5163889
Bedford Springs,MA,us,42.5161111,-71.2713889
Bedlam Corner,CT,us,41.7797222,-72.1550000
Beebe Plain,VT,us,45.0052778,-72.1411111
Beebe River,NH,us,43.8286111,-71.6513889
Beech Ridge,ME,us,43.1494444,-70.7200000
Beecher Falls,VT,us,45.0080556,-71.5083333
Beechwood,MA,us,42.2097222,-70.8194444
Beechwood Estates,MA,us,42.4755556,-73.1116667
Belcher Square,MA,us,42.2000000,-73.3472222
Belchertown,MA,us,42.2769444,-72.4013889
Beldens,VT,us,44.0511111,-73.1758333
Beldingville,MA,us,42.5375000,-72.7702778
Belfast,ME,us,44.4258333,-69.0069444
Belgrade,ME,us,44.4472222,-69.8330556
Belgrade Lakes,ME,us,44.5263889,-69.8875000
Belle Haven,CT,us,41.0088889,-73.6319444
Bellefonte,RI,us,41.7686111,-71.4100000
Belleville,RI,us,41.5538889,-71.4691667
Bellevue,MA,us,42.2875000,-71.1458333
Bellingham,MA,us,42.0866667,-71.4750000
Bellows Falls,VT,us,43.1333333,-72.4444444
Belltown,CT,us,41.0769444,-73.5291667
Belmont,MA,us,42.3958333,-71.1791667
Belmont,NH,us,43.4452778,-71.4783333
Belmont,VT,us,43.4155556,-72.8227778
Belmont Corner,ME,us,44.3972222,-69.1361111
Belmont Hill,MA,us,42.2708333,-71.7972222
Belvidere,MA,us,42.6388889,-71.2902778
Belvidere Center,VT,us,44.7500000,-72.6916667
Belvidere Junction,VT,us,44.7369444,-72.7430556
Bemis,ME,us,44.8577778,-70.7308333
Bemis,MA,us,42.3686111,-71.2041667
Benedicta,ME,us,45.8016667,-68.4122222
Benjamins Landing,MA,us,42.0836111,-71.4294444
Benner Corner,ME,us,44.1563889,-69.3194444
Bennett,ME,us,46.1133333,-68.1116667
Bennett Corners,NH,us,43.8275000,-71.3283333
Bennetts Corner,MA,us,42.0186111,-71.0147222
Bennington,NH,us,43.0030556,-71.9250000
Bennington,VT,us,42.8780556,-73.1972222
Benson,ME,us,45.3594444,-69.2961111
Benson,VT,us,43.7069444,-73.3116667
Benson Landing,VT,us,43.7283333,-73.3680556
Bensted Corner,CT,us,41.7063889,-72.8802778
Benton,ME,us,44.5861111,-69.5513889
Benton,NH,us,44.1030556,-71.9022222
Benton Falls,ME,us,44.5772222,-69.5536111
Benton Station,ME,us,44.5891667,-69.5855556
Berkeley,RI,us,41.9297222,-71.4233333
Berkley,MA,us,41.8458333,-71.0833333
Berkley Bridge,MA,us,41.8333333,-71.1066667
Berkshire,CT,us,41.4086111,-73.2600000
Berkshire,MA,us,42.5125000,-73.1933333
Berkshire,VT,us,44.9716667,-72.7758333
Berkshire Estates,CT,us,41.4425000,-73.2588889
Berkshire Heights,MA,us,42.1888889,-73.3694444
Berlin,CT,us,41.6213889,-72.7461111
Berlin,MA,us,42.3811111,-71.6375000
Berlin,NH,us,44.4686111,-71.1855556
Berlin Corners,VT,us,44.2100000,-72.5763889
Bernard,ME,us,44.2411111,-68.3563889
Bernard J Leddy Park,VT,us,44.5038889,-73.2580556
Bernardston,MA,us,42.6708333,-72.5500000
Berry Mills,ME,us,44.6291667,-70.4500000
Berryman Corner,MA,us,41.6500000,-71.0666667
Berrys Corner,ME,us,45.0980556,-69.1772222
Berrys Corner,NH,us,43.2750000,-71.0694444
Bersum Gardens,NH,us,43.0830556,-70.7705556
Berwick,ME,us,43.2658333,-70.8650000
Beseck Lake,CT,us,41.5186111,-72.7352778
Bethany,CT,us,41.4216667,-72.9975000
Bethany Wood,CT,us,41.4527778,-72.9791667
Bethel,CT,us,41.3711111,-73.4144444
Bethel,ME,us,44.4041667,-70.7911111
Bethel,RI,us,41.4286111,-71.7911111
Bethel,VT,us,43.8333333,-72.6344444
Bethlehem,CT,us,41.6397222,-73.2088889
Bethlehem,NH,us,44.2802778,-71.6886111
Beulah Corners,MA,us,41.6611111,-71.0847222
Beverly,MA,us,42.5583333,-70.8805556
Beverly Cove,MA,us,42.5533333,-70.8541667
Beverly Farms,MA,us,42.5638889,-70.8111111
Beverly Road,MA,us,42.2986111,-71.7833333
Bickfords Corner,ME,us,44.3627778,-69.1491667
Biddeford,ME,us,43.4925000,-70.4538889
Biddeford Pool,ME,us,43.4447222,-70.3419444
Big Rock Corner,NH,us,43.7811111,-71.4497222
Bigelow,ME,us,45.0808333,-70.3211111
Bigelow Corners,CT,us,41.4719444,-73.5050000
Billerica,MA,us,42.5583333,-71.2694444
Billings Hill,ME,us,44.8361111,-69.1983333
Billings Mobile Manor,VT,us,43.5919444,-72.9600000
Bingham,ME,us,45.0586111,-69.8827778
Binghamville,VT,us,44.6750000,-72.9238889
Bingo,ME,us,45.3488889,-67.6769444
Birch Groves,CT,us,41.5469444,-73.4416667
Birch Harbor,ME,us,44.3886111,-68.0377778
Birch Hill Mobile Home Park,ME,us,44.8469444,-68.8016667
Birchwood,CT,us,41.8977778,-72.7216667
Birdport,VT,us,43.9850000,-73.3130556
Birds Hill,MA,us,42.2750000,-71.2125000
Bisbee Corner,MA,us,41.7908333,-70.8691667
Bisbee Mill,MA,us,42.3744444,-72.8194444
Bishop,ME,us,46.8405556,-67.9352778
Bishop Heights,RI,us,41.8263889,-71.5580556
Bishops Corner,CT,us,41.5811111,-72.8694444
Black Corner,ME,us,44.3427778,-68.6744444
Black Hall,CT,us,41.2986111,-72.3188889
Black Mountain Cabin,NH,us,44.1975000,-71.1722222
Black Plain,RI,us,41.5844444,-71.6527778
Black Point,CT,us,41.2861111,-72.2058333
Black Point Beach Club,CT,us,41.2966667,-72.2044444
Black Rock,CT,us,41.1586111,-73.2258333
Black Rock,MA,us,42.2436111,-70.8291667
Blackburn Village,MA,us,42.6269444,-71.8811111
Blackinton,MA,us,42.7041667,-73.1666667
Blackinton Corners,ME,us,44.1233333,-69.1177778
Blacksnake Trailer Park,NH,us,42.8886111,-70.9100000
Blackstone,ME,us,46.9555556,-68.2344444
Blackstone,MA,us,42.0177778,-71.5416667
Blackstrap,ME,us,43.7686111,-70.3311111
Blackwater,ME,us,46.4272222,-68.3083333
Blackwater,NH,us,43.2455556,-70.9141667
Blackwell Corner,ME,us,44.8352778,-69.8166667
Blaine,ME,us,46.5047222,-67.8691667
Blair,ME,us,45.6330556,-70.1758333
Blair,NH,us,43.8100000,-71.6655556
Blaisdell Corners,ME,us,43.3477778,-70.9280556
Blake Corner,ME,us,44.0116667,-70.1180556
Blanchard,ME,us,45.2675000,-69.5841667
Blanchard Corner,ME,us,45.0055556,-67.2752778
Blanchardville,MA,us,42.1458333,-72.3041667
Blandford,MA,us,42.1805556,-72.9277778
Bleachery,MA,us,42.6277778,-71.3041667
Bliss Corner,MA,us,41.6116667,-70.9388889
Bliss Corners,RI,us,41.6263889,-71.1452778
Blissville,MA,us,42.6725000,-72.2750000
Blissville,VT,us,43.5930556,-73.2302778
Blodgett Landing,NH,us,43.3736111,-72.0425000
Bloomfield,CT,us,41.8263889,-72.7305556
Bloomfield,VT,us,44.7538889,-71.6327778
Bloomingdale,MA,us,42.2638889,-71.7708333
Blue Hill,ME,us,44.4138889,-68.5872222
Blue Hill Falls,ME,us,44.3808333,-68.5655556
Blue Hills,CT,us,41.8127778,-72.6980556
Blue Hills,MA,us,42.2430556,-71.0986111
Blue Point,ME,us,43.5522222,-70.3569444
Blue Ridge Acres,VT,us,43.6338889,-72.9625000
Blueberry Ridge Trailer Park,ME,us,43.3522222,-70.7094444
Boat Landing Camp,ME,us,47.2413889,-69.2208333
Bodfish,ME,us,45.3741667,-69.4305556
Bog Corner,ME,us,44.8427778,-69.3236111
Bogues Corner,ME,us,44.1677778,-69.3788889
Bolsters Mills,ME,us,44.1155556,-70.5977778
Bolton,CT,us,41.7688889,-72.4338889
Bolton,MA,us,42.4333333,-71.6083333
Bolton,VT,us,44.3727778,-72.8811111
Boltonville,VT,us,44.1708333,-72.1002778
Bomoseen,VT,us,43.6436111,-73.1991667
Bonds Corner,NH,us,42.9016667,-72.0250000
Bondsville,MA,us,42.2125000,-72.3458333
Bondville,VT,us,43.1447222,-72.8761111
Bonnet Shores,RI,us,41.4825000,-71.4219444
Bonny Eagle,ME,us,43.6897222,-70.6150000
Bonny Rigg Corners,MA,us,42.2638889,-73.0513889
Booth Corner,MA,us,41.5875000,-71.0888889
Boothbay,ME,us,43.8763889,-69.6341667
Boothbay Harbor,ME,us,43.8522222,-69.6286111
Boothbay Park,ME,us,43.5669444,-70.4491667
Bordoville,VT,us,44.8433333,-72.8191667
Boscawen,NH,us,43.3150000,-71.6213889
Boston,CT,us,41.2780556,-73.4077778
Boston,MA,us,42.3583333,-71.0602778
Botsford,CT,us,41.3663889,-73.2575000
Bouplon Corner,VT,us,42.9947222,-73.2669444
Bourne,MA,us,41.7411111,-70.5994444
Bourne Corners,MA,us,41.7511111,-70.6083333
Bournedale,MA,us,41.7752778,-70.5627778
Boutin Corner,NH,us,44.0980556,-71.8763889
Bow Bog,NH,us,43.1205556,-71.5119444
Bow Center,NH,us,43.1319444,-71.5497222
Bow Junction,NH,us,43.1763889,-71.5263889
Bow Lake Village,NH,us,43.2413889,-71.1511111
Bow Mills,NH,us,43.1669444,-71.5336111
Bowdoin Center,ME,us,44.0366667,-69.9733333
Bowdoinham,ME,us,44.0100000,-69.8988889
Bowens Corners,MA,us,42.6158333,-73.1075000
Bowenville,MA,us,41.7250000,-71.1466667
Bowerbank,ME,us,45.2727778,-69.2125000
Bowers Hill,CT,us,41.4044444,-73.1630556
Bowkerville,NH,us,42.8058333,-72.1647222
Bowlsville,VT,us,43.4477778,-72.8525000
Bowman,NH,us,44.3586111,-71.3527778
Bowman Corners,VT,us,44.5736111,-73.0575000
Box Corner,NH,us,43.2608333,-72.0294444
Boxboro,MA,us,42.4916667,-71.5277778
Boxboro Station,MA,us,42.5041667,-71.4933333
Boxford,MA,us,42.6611111,-70.9972222
Boxford Station,MA,us,42.6455556,-71.0583333
Boyce,NH,us,43.2952778,-71.5772222
Boyd Corner,ME,us,43.2963889,-70.7141667
Boyd Lake,ME,us,45.1872222,-68.8919444
Boylston,MA,us,42.3916667,-71.7041667
Boylston Center,MA,us,42.3527778,-71.7355556
Bradbury,ME,us,47.1944444,-68.8444444
Bradburys,ME,us,47.2377778,-68.5783333
Bradford,ME,us,45.0666667,-68.9383333
Bradford,MA,us,42.7694444,-71.0763889
Bradford,NH,us,43.2700000,-71.9605556
Bradford,RI,us,41.3988889,-71.7375000
Bradford,VT,us,43.9925000,-72.1294444
Bradford Center,ME,us,45.0722222,-68.8966667
Bradford Center,NH,us,43.2372222,-71.9719444
Bradford Center,VT,us,44.0130556,-72.1711111
Bradley,ME,us,44.9208333,-68.6286111
Bradleys Corner,ME,us,43.6591667,-70.2975000
Bradleyville,CT,us,41.5233333,-73.0825000
Bradstreet,MA,us,42.4105556,-72.5922222
